model_name,technique_name,precision,recall,f1
Gemma-SEA-LION v4 4B,chain-of-thought,1.0,10.72340425531915,1.8041257050775528
Gemma-SEA-LION v4 4B,few-shot,1.0,9.787234042553191,1.7797368160387725
Gemma-SEA-LION v4 4B,structured-output,1.0,10.673469387755102,1.8015279171941838
Gemma-SEA-LION v4 4B,zero-shot,1.0,10.270833333333334,1.7956093352668432
Llama 3.2 3B Instruct,chain-of-thought,1.0,8.279069767441861,1.7209433141717685
Llama 3.2 3B Instruct,few-shot,1.0,7.127659574468085,1.638242295876839
Llama 3.2 3B Instruct,structured-output,1.0,7.8478260869565215,1.6691959610437872
Llama 3.2 3B Instruct,zero-shot,1.0,8.708333333333334,1.7025858230821467
MedGemma 4B,chain-of-thought,1.0,11.28,1.8107685963159648
MedGemma 4B,few-shot,1.0,11.3,1.799807665502712
MedGemma 4B,structured-output,1.0,11.36,1.8091620240097022
MedGemma 4B,zero-shot,1.0,11.020408163265307,1.8035472548203957
Phi-4-mini 3.8B Instruct,chain-of-thought,1.0,6.760869565217392,1.6414649360301536
Phi-4-mini 3.8B Instruct,few-shot,1.0,6.48936170212766,1.6197958070298497
Phi-4-mini 3.8B Instruct,structured-output,1.0,5.808510638297872,1.6138303776601648
Phi-4-mini 3.8B Instruct,zero-shot,1.0,6.023809523809524,1.6037885861415273
Qwen 2.5 3B Instruct,chain-of-thought,1.0,6.895833333333333,1.6861733174233173
Qwen 2.5 3B Instruct,few-shot,1.0,6.918367346938775,1.6754200448077998
Qwen 2.5 3B Instruct,structured-output,1.0,6.958333333333333,1.6785320412158649
Qwen 2.5 3B Instruct,zero-shot,1.0,7.44,1.7026403596403596
