model_name,technique_name,mae_quantity,mape_quantity,mae_weight,mape_weight
Gemma-SEA-LION v4 4B,chain-of-thought,18.02347301951779,746.5574448947751,123.22182357443552,820.6218526959284
Gemma-SEA-LION v4 4B,few-shot,16.228526605893578,560.4594509234291,114.42460250158999,632.5339627432583
Gemma-SEA-LION v4 4B,structured-output,16.498089981447123,702.7078992665278,116.11258812615955,757.237273757357
Gemma-SEA-LION v4 4B,zero-shot,17.315261418853254,709.524828693733,115.05226433430515,718.2821548185226
Llama 3.2 3B Instruct,chain-of-thought,458.2073604201215,26956.07123139454,1065.8419154228854,4493.341674731825
Llama 3.2 3B Instruct,few-shot,16.28273704520397,635.9085419237343,261.93015435501655,211.8979556579083
Llama 3.2 3B Instruct,structured-output,10.243440581214323,308.12526210905924,105.18686429683446,222.66385135050535
Llama 3.2 3B Instruct,zero-shot,21312.75921216244,2244282.1256251843,103.59810155021344,232.36773589466924
MedGemma 4B,chain-of-thought,13.651055868785239,423.2785871748912,109.35163164189306,380.9079532180096
MedGemma 4B,few-shot,13.124106263792225,399.9373831276481,104.31567645561026,298.774638987091
MedGemma 4B,structured-output,14.965113979215554,504.5350700673657,117.14684880992289,580.4728275690212
MedGemma 4B,zero-shot,15.853788359788362,440.1385076780599,109.2058553791887,397.9537679248934
Phi-4-mini 3.8B Instruct,chain-of-thought,13.141765292770689,275.7379401813748,86.11218514883873,133.97871200087425
Phi-4-mini 3.8B Instruct,few-shot,9.354993894993894,374.68586398350527,100.07014652014652,155.21829465421249
Phi-4-mini 3.8B Instruct,structured-output,21.86152122780506,1133.4065869466565,96.95462788061957,121.76541427552004
Phi-4-mini 3.8B Instruct,zero-shot,17.504969700321084,588.0035239144751,116.24771673207277,189.3291215760891
Qwen 2.5 3B Instruct,chain-of-thought,14.683315098468272,609.7958283962915,106.4748984057518,278.8762034052901
Qwen 2.5 3B Instruct,few-shot,12.854591661907481,462.9591881222987,104.70134209023415,132.7402821970212
Qwen 2.5 3B Instruct,structured-output,9.390808254514187,207.65963237898865,101.95738033820578,199.5194793779353
Qwen 2.5 3B Instruct,zero-shot,13.092420707732634,373.13316679102155,103.99786369593708,229.56774480090456
