model_name,technique_name,nutrient,mae,mape,pearson
Gemma-SEA-LION v4 4B,chain-of-thought,energy_kcal,194.15849598163032,630.3836574954965,0.055641529930012146
Gemma-SEA-LION v4 4B,few-shot,energy_kcal,185.67858808564768,538.081754045091,0.0694540191141494
Gemma-SEA-LION v4 4B,structured-output,energy_kcal,183.5225974025974,548.9268118001173,0.08169922864645045
Gemma-SEA-LION v4 4B,zero-shot,energy_kcal,179.2193391642371,477.87774627756545,0.06112585335440029
Llama 3.2 3B Instruct,chain-of-thought,energy_kcal,287.97628524046434,1528.790045901475,-0.005477568853950774
Llama 3.2 3B Instruct,few-shot,energy_kcal,184.00595369349506,138.14599365806959,0.07323392118370622
Llama 3.2 3B Instruct,structured-output,energy_kcal,140.10814737934615,146.5885648404039,0.048537535043316246
Llama 3.2 3B Instruct,zero-shot,energy_kcal,146.86973713772184,192.27253979118854,0.03751688618609332
MedGemma 4B,chain-of-thought,energy_kcal,156.637143345293,267.6569904805899,0.018839293283004762
MedGemma 4B,few-shot,energy_kcal,147.29814971991172,143.94910549321284,-0.017687241685759345
MedGemma 4B,structured-output,energy_kcal,151.72883003687562,242.20336866586442,0.05182255089150441
MedGemma 4B,zero-shot,energy_kcal,156.15550264550265,236.78206441361866,0.024344690234239588
Phi-4-mini 3.8B Instruct,chain-of-thought,energy_kcal,136.74563297350343,93.59354169868679,-0.004379820787756441
Phi-4-mini 3.8B Instruct,few-shot,energy_kcal,133.11593406593408,90.38461538461539,
Phi-4-mini 3.8B Instruct,structured-output,energy_kcal,132.0261428031734,89.31644689105966,0.09640466692131214
Phi-4-mini 3.8B Instruct,zero-shot,energy_kcal,145.25229397074563,109.80698125128833,-0.013876375149222095
Qwen 2.5 3B Instruct,chain-of-thought,energy_kcal,140.20650203188498,151.14079558154677,-0.04447408613009614
Qwen 2.5 3B Instruct,few-shot,energy_kcal,147.73866362078812,90.46259280411194,
Qwen 2.5 3B Instruct,structured-output,energy_kcal,137.96044711951848,98.6466584689617,-0.008541115790412633
Qwen 2.5 3B Instruct,zero-shot,energy_kcal,141.10239842726082,104.06201284690063,-0.0537961438274076
Gemma-SEA-LION v4 4B,chain-of-thought,protein_g,9.200692690394185,661.50662299376,0.01034200861828167
Gemma-SEA-LION v4 4B,few-shot,protein_g,8.673938944244224,655.0664111555556,0.003217381435065974
Gemma-SEA-LION v4 4B,structured-output,protein_g,9.341803339517627,689.9879455550379,0.001534078251889282
Gemma-SEA-LION v4 4B,zero-shot,protein_g,8.937321671525753,607.6863195964075,-0.0025114129513711917
Llama 3.2 3B Instruct,chain-of-thought,protein_g,12.251713653952459,844.3272066633359,0.02026728577582205
Llama 3.2 3B Instruct,few-shot,protein_g,9.118710033076075,176.66988318600636,0.0021067410939852303
Llama 3.2 3B Instruct,structured-output,protein_g,6.94754281266217,166.03828866093568,-0.020509709119980173
Llama 3.2 3B Instruct,zero-shot,protein_g,7.125075263985621,162.72628502181522,-0.016591897655477215
MedGemma 4B,chain-of-thought,protein_g,7.386885357936102,261.13859712809983,-0.00919435525702973
MedGemma 4B,few-shot,protein_g,6.869339670684094,152.13701887947332,-0.0178436349146457
MedGemma 4B,structured-output,protein_g,7.612433791485082,309.96973320170633,-0.008345407182367532
MedGemma 4B,zero-shot,protein_g,7.2462433862433855,253.7250376022453,-0.009467186666885927
Phi-4-mini 3.8B Instruct,chain-of-thought,protein_g,6.043205757278377,110.95477584125194,-0.014532971155561706
Phi-4-mini 3.8B Instruct,few-shot,protein_g,6.442014652014652,77.4114774114774,
Phi-4-mini 3.8B Instruct,structured-output,protein_g,5.344216093690971,74.6883264072535,
Phi-4-mini 3.8B Instruct,zero-shot,protein_g,7.728305387085265,136.964753796299,0.012545453081722328
Qwen 2.5 3B Instruct,chain-of-thought,protein_g,6.455698655829947,170.87198068407426,-0.0014704825064599915
Qwen 2.5 3B Instruct,few-shot,protein_g,6.3228612221587674,76.7846944603084,
Qwen 2.5 3B Instruct,structured-output,protein_g,6.320392662654055,99.68203584977847,-0.01318438057862368
Qwen 2.5 3B Instruct,zero-shot,protein_g,6.377685452162517,90.49355328274463,-0.01659449128691337
Gemma-SEA-LION v4 4B,chain-of-thought,fat_g,9.140403750478377,871.7521422046572,0.04661594520357618
Gemma-SEA-LION v4 4B,few-shot,fat_g,9.234157303370788,896.1791988227201,0.05355500579449748
Gemma-SEA-LION v4 4B,structured-output,fat_g,9.776296846011132,903.8636406964993,0.024188985190082727
Gemma-SEA-LION v4 4B,zero-shot,fat_g,9.089337220602527,707.396667111667,0.031140675547324338
Llama 3.2 3B Instruct,chain-of-thought,fat_g,14.974350469872856,1659.9444982549753,-0.012413245565031185
Llama 3.2 3B Instruct,few-shot,fat_g,7.113864388092613,75.99607810147474,0.07772638035853907
Llama 3.2 3B Instruct,structured-output,fat_g,7.575791385573432,180.55481507421686,0.0029869072552131787
Llama 3.2 3B Instruct,zero-shot,fat_g,7.774522579195687,242.03505458375912,0.01595933519131138
MedGemma 4B,chain-of-thought,fat_g,8.052280881599179,354.17190972558774,0.03968686342001943
MedGemma 4B,few-shot,fat_g,7.583058903411985,192.25674051482753,-0.002834144521707392
MedGemma 4B,structured-output,fat_g,8.81895742541066,429.4672144031016,0.01295545730904428
MedGemma 4B,zero-shot,fat_g,8.371410934744267,420.8016134340513,0.010828325630468715
Phi-4-mini 3.8B Instruct,chain-of-thought,fat_g,6.8532221131828575,70.39775259104465,-0.008500163823770043
Phi-4-mini 3.8B Instruct,few-shot,fat_g,6.39035409035409,67.06349206349206,
Phi-4-mini 3.8B Instruct,structured-output,fat_g,6.766565923687194,64.11031356252361,
Phi-4-mini 3.8B Instruct,zero-shot,fat_g,6.898572957545487,69.63922582946843,-0.02064072228900663
Qwen 2.5 3B Instruct,chain-of-thought,fat_g,6.567145983119724,82.36725861888829,-0.024689351893875895
Qwen 2.5 3B Instruct,few-shot,fat_g,7.174928612221588,68.78926327812678,
Qwen 2.5 3B Instruct,structured-output,fat_g,6.805474347950702,155.2352264801534,-0.003435236622826794
Qwen 2.5 3B Instruct,zero-shot,fat_g,6.9894626474443,73.87625898566266,-0.02730307977286589
Gemma-SEA-LION v4 4B,chain-of-thought,carbohydrate_g,19.03474933027172,313.06264078080454,0.06353378201458043
Gemma-SEA-LION v4 4B,few-shot,carbohydrate_g,21.60142039431842,343.9395638754728,0.04443569279727358
Gemma-SEA-LION v4 4B,structured-output,carbohydrate_g,17.892270871985158,372.2051688190855,0.09244422498457001
Gemma-SEA-LION v4 4B,zero-shot,carbohydrate_g,19.19661807580175,360.88889753347814,0.06349740853073185
Llama 3.2 3B Instruct,chain-of-thought,carbohydrate_g,262.0600276395799,3860.5806006444827,-0.0038369627777711792
Llama 3.2 3B Instruct,few-shot,carbohydrate_g,19.645248070562296,207.21629429800595,0.035281218540804855
Llama 3.2 3B Instruct,structured-output,carbohydrate_g,13.695814737934615,151.92175355161714,0.0830081317628427
Llama 3.2 3B Instruct,zero-shot,carbohydrate_g,15.072507301729951,193.5194094808056,0.07011413531177547
