model_name,technique_name,hallucination_rate
Gemma-SEA-LION v4 4B,chain-of-thought,0.0
Gemma-SEA-LION v4 4B,few-shot,0.0
Gemma-SEA-LION v4 4B,structured-output,0.0
Gemma-SEA-LION v4 4B,zero-shot,0.0
Llama 3.2 3B Instruct,chain-of-thought,0.0
Llama 3.2 3B Instruct,few-shot,0.0
Llama 3.2 3B Instruct,structured-output,0.0
Llama 3.2 3B Instruct,zero-shot,0.0
MedGemma 4B,chain-of-thought,0.0
MedGemma 4B,few-shot,0.0
MedGemma 4B,structured-output,0.0
MedGemma 4B,zero-shot,0.0
Phi-4-mini 3.8B Instruct,chain-of-thought,0.0
Phi-4-mini 3.8B Instruct,few-shot,0.0
Phi-4-mini 3.8B Instruct,structured-output,0.0
Phi-4-mini 3.8B Instruct,zero-shot,0.0
Qwen 2.5 3B Instruct,chain-of-thought,0.0
Qwen 2.5 3B Instruct,few-shot,0.0
Qwen 2.5 3B Instruct,structured-output,0.0
Qwen 2.5 3B Instruct,zero-shot,0.0
