"experiment_id","video_id","model_name","technique_name","rag_enabled","gt_total_energy_kcal","gt_total_protein_g","gt_total_fat_g","gt_total_carbohydrate_g","pred_total_energy_kcal","pred_total_protein_g","pred_total_fat_g","pred_total_carbohydrate_g"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2051","1","Llama 3.2 3B Instruct","few-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2053","1","Llama 3.2 3B Instruct","structured-output","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2056","1","Phi-4-mini 3.8B Instruct","chain-of-thought","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
"2063","1","Gemma-SEA-LION v4 4B","few-shot","0","1016","33","16.700000047683716","171",NULL,NULL,NULL,NULL
