model_name,technique_name,gt_avg_calories,pred_avg_calories,mae_calories,mape_calories,gt_avg_protein,pred_avg_protein,mae_protein,gt_avg_fat,pred_avg_fat,mae_fat,gt_avg_carbs,pred_avg_carbs,mae_carbs
Gemma-SEA-LION v4 4B,chain-of-thought,8600.7,1066.1250000044704,7534.57499999553,87.29874798839907,579.210000026226,1066.1250000044704,1102.7350009664892,321.56000032871964,1066.1250000044704,1073.2249996244907,850.4499975092709,1066.1250000044704,1329.1549980722368
Gemma-SEA-LION v4 4B,few-shot,8726.888888888889,195.33333333333334,8531.555555555555,98.11054701453865,576.1666666153404,195.33333333333334,629.7777777396971,309.1555559345418,195.33333333333334,352.9222225853139,913.9333305665189,195.33333333333334,718.5999972331855
Gemma-SEA-LION v4 4B,structured-output,8280.9,356.725,7924.175,95.41309536406409,557.4700000494719,356.725,597.5950003474951,304.8600003659725,356.725,443.3250000059605,831.6099975474178,356.725,788.6449977762998
Gemma-SEA-LION v4 4B,zero-shot,8182.1,181.925,8000.175,98.18950196960915,568.8399998418987,181.925,609.7149998538196,309.74000030308963,181.925,341.7550002887845,779.5499982275069,181.925,597.6249982275069
Llama 3.2 3B Instruct,chain-of-thought,3076.0,3770.0,694.0,22.561768530559167,111.20000112056732,3770.0,3658.7999988794327,75.60000041127205,3770.0,3694.399999588728,513.9999952316284,3770.0,3256.0000047683716
Llama 3.2 3B Instruct,structured-output,5014.25,101.75,4912.5,97.7504733272792,345.5749995261431,101.75,283.2249989658594,163.27500063367188,101.75,118.72500042803586,548.0999974608421,101.75,446.34999746084213
Llama 3.2 3B Instruct,zero-shot,7284.428571428572,252.28571428571428,7032.142857142857,96.94292412838016,400.61428554994717,252.28571428571428,466.6142855669771,254.4714290297457,252.28571428571428,306.9000002113836,869.2999981907861,252.28571428571428,659.4142840685589
MedGemma 4B,chain-of-thought,8341.3,349.425,7991.875,95.85364816176278,577.1299998767674,349.425,603.5050002105534,314.9400003142655,349.425,451.77499990984796,799.3299980960786,349.425,761.4849983535707
MedGemma 4B,few-shot,8345.4,178.025,8167.375,98.2852260584061,575.6899998515844,178.025,620.4649998635053,317.32000029459596,178.025,353.2350002802908,795.7399981148541,178.025,617.7149981148541
MedGemma 4B,structured-output,8561.2,177.05,8384.15,98.27528173384229,574.9500000268221,177.05,621.950000038743,316.5800003744662,177.05,354.72000036016107,857.0699974156917,177.05,680.0199974156916
MedGemma 4B,zero-shot,8163.8,182.2,7981.6,98.21432175400645,561.6999998897314,182.2,602.2999999016523,306.21000029221176,182.2,336.6700002767146,789.9799981199205,182.2,607.7799981199205
Phi-4-mini 3.8B,chain-of-thought,7787.75,13.0,7774.75,99.86449864498644,427.1500000022352,13.0,414.1500000022352,335.5749997384846,13.0,322.5749997384846,769.77499964647,13.0,756.77499964647
Phi-4-mini 3.8B,few-shot,7520.666666666667,176.25,7344.416666666667,98.21349582507978,471.8888886330856,176.25,543.4722219796645,296.08888924204643,176.25,342.894444797602,751.5999984385239,176.25,575.3499984385239
Phi-4-mini 3.8B,structured-output,7007.571428571428,5571.964285714285,10137.607142857143,145.20117450298977,449.27142867339506,5571.964285714285,5802.764285731529,245.07142880558968,5571.964285714285,5592.278571633356,752.6999977103302,5571.964285714285,5725.535712186779
Phi-4-mini 3.8B,zero-shot,7353.625,54.46875,7299.15625,99.22891545306993,536.96250004787,54.46875,482.49375004787,290.46250019036233,54.46875,252.79375017248094,639.6499979160726,54.46875,585.1812479160726
Qwen 2.5 3B Instruct,chain-of-thought,6629.666666666667,252.33333333333334,6377.333333333333,97.0362789402247,420.95000006010133,252.33333333333334,549.0166667426626,222.18333328018585,252.33333333333334,358.91666658967733,729.5833318680525,252.33333333333334,477.24999853471917
Qwen 2.5 3B Instruct,few-shot,6434.625,210.0,6224.625,97.4483197371904,409.5375003674999,210.0,484.8375003794208,227.4375003091991,210.0,304.8375002928078,696.024998145178,210.0,486.02499814517796
Qwen 2.5 3B Instruct,structured-output,6942.2,176.1,6766.1,97.81106853738746,480.2799998745322,176.1,532.419999884069,264.1900002129376,176.1,313.21000019982455,659.6399984404445,176.1,483.5399984404445
Qwen 2.5 3B Instruct,zero-shot,6767.5,182.0,6585.5,97.81106408501135,481.5099998876452,182.0,527.749999897182,254.6600002542138,182.0,296.5000002399087,635.9199984371662,182.0,453.9199984371662
